텃밭아이디,운영주체,텃밭명,시도코드,시도명,시군구코드,시군구명,주소,실제전체면적,실제분양면적,홈페이지,모집기간,부대시설,신청방법,분양가격,위도좌표,경도좌표,등록일자,수정일자
"764","지자체/주말농장","장안뜰주말농장","9","경기도","132","화성시","경기도 화성시 봉담읍 내리 44","1842","16.5"," "," ","주차장, 화장실","전화","50,000","37.2387234059","126.9355051235","20170123",20170123
"765","지자체/주말농장","왕림주말농원","9","경기도","132","화성시","경기도 화성시 봉담읍 왕림리 30","1000","16.5"," "," ","주차장, 화장실","전화","50,000","37.2001621681","126.9426027731","20170123",20170123
"766","개인","청궁주말농장","9","경기도","132","화성시","경기도 화성시 봉담읍 내리 816","500","16.5"," "," ","주차장, 화장실","전화","50,000","37.2367523144","126.9240209117","20170123",20170123
"767","개인","새말햇살농장","9","경기도","132","화성시","경기도 화성시 봉담읍 동화리 291-1","914","16.5"," "," ","주차장, 화장실","전화","50,000","37.2227494305","126.9593966727","20170123",20170123
"768","개인","기산대우주말농장","9","경기도","132","화성시","경기도 화성시 기산동 414-12","931","16.5"," "," ","주차장, 화장실","전화","50,000","37.2270849336","127.0415837209","20170123",20170123
"769","개인","정원농장","9","경기도","132","화성시","경기도 화성시 정남면 서봉로 869번길 49","727","16.5"," "," ","주차장, 화장실","전화","50,000","37.1547747982","126.9619591966","20170123",20170123
"770","민간단체","웃다리문화촌","9","경기도","129","평택시","경기 평택시 서탄면 용소금각로 438-14 (금각리)","500","17"," "," ","농막, 화장실","전화","70,000","37.0687432938","127.0081860781","20170123",20170123
"771","민간단체","바람새마을","9","경기도","129","평택시","경기도 평택시 고덕면 궁리 496","5000","17"," "," ","수도시설, 화장실","홈페이지 및 내방","70,000","37.0167533069","127.0206400252","20170123",20170123
"772","개인","행복가꿈농장","9","경기도","129","평택시","경기도 평택시 청북면 토진리 172-4","2000","17"," "," ","농막, 수도시설, 화장실","전화, 내방","50,000","37.0401833497","126.9498588275","20170123",20170123
"773","민간단체","글갱이주말농장","9","경기도","129","평택시","경기도 평택시 현덕면 도대리 348-2","200","17"," "," ","수도시설","전화","50","36.96664737","126.9026350728","20170123",20170123
"774","민간단체","행복마을주말농장","9","경기도","129","평택시","경기도 평택시 청북면 고잔리 924","1700","17"," "," ","수도시설, 농막, 화장실","전화, 내방","50,000","37.0464214746","126.8937650531","20170123",20170123
"775","개인","정암주말농장","9","경기도","129","평택시","경기도 평택시 이충동 576","10000","17"," "," ","농막, 화장실, 수도시설","전화, 내방","50,000","37.0550537493","127.0666955515","20170123",20170123
"776","개인","딸기이야기","9","경기도","129","평택시","경기도 평택시 장당길 26-20","1000","24"," "," ","농막, 화장실, 수도시설","전화, 홈페이지, 내방","100,000","37.0501899209","127.0630893992","20170123",20170123
"777","개인","청옥주말농장","9","경기도","129","평택시","경기도 평택시 청북면 옥길리 산 54-1","3300","17"," "," ","농막, 수도시설, 화장실","전화, 내방","50,000","37.0250257445","126.9105621907","20170123",20170123
"778","개인","시흥텃밭지기","9","경기도","114","시흥시","경기도 시흥시 군자로 210-39","3300","미정"," "," ","쉼터","방문","미정","37.3619664678","126.7662663763","20170123",20170123
"779","민간단체","착한농부","9","경기도","114","시흥시","경기도 시흥시 조남동 594-1","2926","미정"," "," ","쉼터","방문","미정","37.3723973298","126.8730171139","20170123",20170123
"780","민간단체","한어울림 도시텃밭 공동체","9","경기도","114","시흥시","경기도 시흥시 방산동 산37-10","4300","미정"," "," "," ","방문","미정","37.4165519756","126.7707916263","20170123",20170123
"781","민간단체","좋은이웃 공공형 주말농장","9","경기도","114","시흥시","경기도 시흥시 정왕동 871-27","8700","미정"," "," ","쉼터","방문","미정","37.3612594812","126.7433808532","20170123",20170123
"782","민간단체","아파트 주말농장 공동체","9","경기도","114","시흥시","경기도 시흥시 정왕동 3-3번지","14850","미정"," "," ","쉼터","방문","미정","37.3701393787","126.7585010006","20170123",20170123
"783","민간단체","정왕동 주민공동체(환영 주말농장)","9","경기도","114","시흥시","경기도 시흥시 정왕동 622번지","4420","미정"," "," ","쉼터","방문","미정","37.3550404098","126.7525942808","20170123",20170123
"784","민간단체","월곶동 주민자취위원회(바다향기 주말농장)","9","경기도","114","시흥시","경기도 시흥시 월곶동 995","5614","미정"," "," ","쉼터","방문","미정","37.3888021316","126.7418099837","20170123",20170123
"785","민간단체","자생화 사랑하는 사람들","9","경기도","114","시흥시","경기도 시흥시 군자동 35-1, 2","5500","미정"," "," ","쉼터","방문","미정","37.3571832607","126.8058054439","20170123",20170123
"786","민간단체","신현동 새마을 협의회","9","경기도","114","시흥시","경기도 시흥시 포동 14, 14-3, 14-5번지","3528","미정"," "," ","쉼터","방문","미정","37.4056851564","126.7838995347","20170123",20170123
"787","민간단체","군자봉 사람들","9","경기도","114","시흥시","경기도 시흥시 군자동 313,313-2번지","1300","미정"," "," ","쉼터","방문","미정","37.3594745562","126.7925295744","20170123",20170123
