날짜,최고기온,최저기온,월,일,연도,가격
2011-01-03,6.2,-16.9,1,3,2011,1520.0
2011-01-04,3.2,-14.4,1,4,2011,1520.0
2011-01-05,2.9,-12.5,1,5,2011,1620.0
2011-01-06,-0.3,-18.1,1,6,2011,1690.0
2011-01-07,0.0,-20.7,1,7,2011,1710.0
2011-01-10,-0.8,-21.2,1,10,2011,1720.0
2011-01-11,0.8,-18.9,1,11,2011,1660.0
2011-01-12,-1.0,-19.7,1,12,2011,1660.0
2011-01-13,1.3,-21.4,1,13,2011,1660.0
2011-01-14,1.5,-19.1,1,14,2011,1590.0
2011-01-17,-2.3,-24.1,1,17,2011,1590.0
2011-01-18,0.3,-22.7,1,18,2011,1590.0
2011-01-19,0.2,-18.8,1,19,2011,1590.0
2011-01-20,-0.5,-18.8,1,20,2011,1560.0
2011-01-21,1.3,-20.5,1,21,2011,1550.0
2011-01-24,-2.1,-20.0,1,24,2011,1550.0
2011-01-25,-0.6,-22.2,1,25,2011,1550.0
2011-01-26,-1.3,-23.0,1,26,2011,1550.0
2011-01-27,-1.9,-23.8,1,27,2011,1550.0
2011-01-28,1.3,-18.6,1,28,2011,1550.0
2011-01-31,1.0,-23.6,1,31,2011,1550.0
2011-02-01,7.7,-14.8,2,1,2011,1550.0
2011-02-07,8.4,-11.8,2,7,2011,1550.0
2011-02-08,10.8,-8.2,2,8,2011,1570.0
2011-02-09,7.6,-11.0,2,9,2011,1510.0
2011-02-10,6.4,-11.1,2,10,2011,1510.0
2011-02-11,6.9,-11.1,2,11,2011,1500.0
2011-02-14,4.3,-17.4,2,14,2011,1500.0
2011-02-15,6.5,-14.7,2,15,2011,1500.0
2011-02-16,9.2,-15.5,2,16,2011,1500.0
2011-02-17,6.0,-5.1,2,17,2011,1500.0
2011-02-18,9.7,-10.8,2,18,2011,1500.0
2011-02-21,15.6,-8.8,2,21,2011,1500.0
2011-02-22,18.2,-10.2,2,22,2011,1470.0
2011-02-23,17.4,-8.8,2,23,2011,1460.0
2011-02-24,17.3,-8.8,2,24,2011,1460.0
2011-02-25,13.6,-6.8,2,25,2011,1430.0
2011-02-28,8.6,-3.1,2,28,2011,1380.0
2011-03-02,3.9,-9.8,3,2,2011,1360.0
2011-03-03,5.0,-12.5,3,3,2011,1390.0
2011-03-04,8.0,-12.2,3,4,2011,1390.0
2011-03-07,9.8,-4.8,3,7,2011,1390.0
2011-03-08,9.3,-10.6,3,8,2011,1370.0
2011-03-09,7.2,-10.0,3,9,2011,1370.0
2011-03-10,8.4,-10.9,3,10,2011,1390.0
2011-03-11,13.2,-8.4,3,11,2011,1370.0
2011-03-14,17.5,-3.0,3,14,2011,1370.0
2011-03-15,10.9,-6.8,3,15,2011,1370.0
2011-03-16,6.7,-8.3,3,16,2011,1340.0
2011-03-17,10.3,-10.1,3,17,2011,1360.0
2011-03-18,16.0,-9.9,3,18,2011,1360.0
2011-03-21,17.3,-0.9,3,21,2011,1250.0
2011-03-22,17.3,-5.2,3,22,2011,1240.0
2011-03-23,10.8,-9.9,3,23,2011,1160.0
2011-03-24,11.1,-9.9,3,24,2011,1110.0
2011-03-25,11.1,-7.5,3,25,2011,1090.0
2011-03-28,12.0,-5.2,3,28,2011,1090.0
2011-03-29,11.1,-5.2,3,29,2011,1090.0
2011-03-30,18.1,-8.0,3,30,2011,1090.0
2011-03-31,22.6,-6.2,3,31,2011,1070.0
2011-04-01,22.5,-5.7,4,1,2011,1070.0
2011-04-04,21.3,-4.0,4,4,2011,1070.0
2011-04-05,22.8,-5.6,4,5,2011,1010.0
2011-04-06,22.4,-5.2,4,6,2011,1010.0
2011-04-07,15.3,2.5,4,7,2011,1010.0
2011-04-08,21.3,1.4,4,8,2011,1010.0
2011-04-11,18.4,-2.0,4,11,2011,1010.0
2011-04-12,21.7,-6.0,4,12,2011,1010.0
2011-04-13,23.7,-5.6,4,13,2011,1010.0
2011-04-14,25.9,-3.0,4,14,2011,975.0
2011-04-15,27.6,0.2,4,15,2011,940.0
2011-04-18,14.4,-0.8,4,18,2011,850.0
2011-04-19,16.9,-1.8,4,19,2011,850.0
2011-04-20,22.7,-4.3,4,20,2011,840.0
2011-04-21,23.6,-1.1,4,21,2011,780.0
2011-04-22,14.3,3.0,4,22,2011,760.0
2011-04-25,21.3,2.0,4,25,2011,740.0
2011-04-26,15.3,3.3,4,26,2011,740.0
2011-04-27,19.6,2.6,4,27,2011,760.0
2011-04-28,16.0,-0.2,4,28,2011,770.0
2011-04-29,21.5,-4.0,4,29,2011,770.0
2011-05-02,26.3,4.6,5,2,2011,770.0
2011-05-03,25.7,4.4,5,3,2011,780.0
2011-05-04,25.9,0.9,5,4,2011,780.0
2011-05-06,24.6,2.4,5,6,2011,780.0
2011-05-09,29.5,8.0,5,9,2011,770.0
2011-05-11,21.7,7.7,5,11,2011,770.0
2011-05-12,22.2,4.6,5,12,2011,760.0
2011-05-13,24.9,0.6,5,13,2011,760.0
2011-05-16,25.8,5.5,5,16,2011,660.0
2011-05-17,26.6,1.3,5,17,2011,660.0
2011-05-18,30.9,2.5,5,18,2011,630.0
2011-05-19,30.4,7.3,5,19,2011,630.0
2011-05-20,25.7,10.3,5,20,2011,630.0
2011-05-23,28.1,7.3,5,23,2011,690.0
2011-05-24,33.0,6.0,5,24,2011,730.0
2011-05-25,33.4,7.3,5,25,2011,810.0
2011-05-26,24.9,10.6,5,26,2011,830.0
2011-05-27,25.0,8.0,5,27,2011,890.0
2011-05-30,31.6,5.9,5,30,2011,910.0
2011-05-31,25.1,9.7,5,31,2011,910.0
2011-06-01,23.6,8.4,6,1,2011,960.0
2011-06-02,29.7,8.3,6,2,2011,960.0
2011-06-03,29.9,8.2,6,3,2011,1010.0
2011-06-07,32.0,8.0,6,7,2011,1010.0
2011-06-08,32.8,9.1,6,8,2011,1010.0
2011-06-09,31.0,10.0,6,9,2011,1010.0
2011-06-10,31.0,10.6,6,10,2011,1010.0
2011-06-13,31.8,10.6,6,13,2011,970.0
2011-06-14,34.0,11.1,6,14,2011,950.0
2011-06-15,35.1,10.5,6,15,2011,940.0
2011-06-16,35.7,10.2,6,16,2011,920.0
2011-06-17,34.7,9.1,6,17,2011,860.0
2011-06-20,37.4,9.7,6,20,2011,860.0
2011-06-21,36.0,12.6,6,21,2011,820.0
2011-06-22,32.5,11.5,6,22,2011,830.0
2011-06-23,30.5,17.5,6,23,2011,920.0
2011-06-24,28.8,11.7,6,24,2011,960.0
2011-06-27,26.5,11.7,6,27,2011,980.0
2011-06-28,34.5,11.5,6,28,2011,1020.0
2011-06-29,33.7,15.1,6,29,2011,1030.0
2011-06-30,33.0,15.1,6,30,2011,1030.0
2011-07-01,35.7,14.8,7,1,2011,990.0
2011-07-04,33.0,13.4,7,4,2011,920.0
2011-07-05,33.1,13.6,7,5,2011,860.0
2011-07-06,34.9,12.2,7,6,2011,820.0
2011-07-07,29.9,14.0,7,7,2011,820.0
2011-07-08,30.4,16.2,7,8,2011,840.0
2011-07-11,31.1,13.0,7,11,2011,820.0
2011-07-12,31.2,15.6,7,12,2011,820.0
2011-07-13,32.0,15.6,7,13,2011,870.0
2011-07-14,33.1,16.1,7,14,2011,960.0
2011-07-15,34.3,16.2,7,15,2011,990.0
2011-07-18,37.8,16.1,7,18,2011,930.0
2011-07-19,34.2,16.9,7,19,2011,930.0
2011-07-20,33.7,13.9,7,20,2011,940.0
2011-07-21,34.7,11.8,7,21,2011,940.0
2011-07-22,34.4,12.0,7,22,2011,920.0
2011-07-25,32.7,14.2,7,25,2011,920.0
2011-07-26,35.7,16.4,7,26,2011,930.0
2011-07-27,28.5,15.5,7,27,2011,950.0
2011-07-28,32.9,14.7,7,28,2011,1020.0
2011-07-29,35.0,16.4,7,29,2011,1080.0
2011-08-01,34.7,16.7,8,1,2011,1140.0
2011-08-02,32.6,17.0,8,2,2011,1200.0
2011-08-03,36.7,16.0,8,3,2011,1220.0
2011-08-04,37.3,16.8,8,4,2011,1270.0
2011-08-05,39.3,16.8,8,5,2011,1270.0
2011-08-08,35.0,17.9,8,8,2011,1270.0
2011-08-09,30.9,16.8,8,9,2011,1250.0
2011-08-10,36.0,16.7,8,10,2011,1230.0
2011-08-11,36.7,17.3,8,11,2011,1240.0
2011-08-12,31.0,17.6,8,12,2011,1350.0
2011-08-16,34.3,16.7,8,16,2011,1360.0
2011-08-17,29.8,15.1,8,17,2011,1350.0
2011-08-18,35.7,14.9,8,18,2011,1390.0
2011-08-19,32.3,14.8,8,19,2011,1430.0
2011-08-22,33.4,11.8,8,22,2011,1460.0
2011-08-23,32.4,10.9,8,23,2011,1440.0
2011-08-24,31.3,10.1,8,24,2011,1440.0
2011-08-25,32.4,12.5,8,25,2011,1440.0
2011-08-26,32.0,13.6,8,26,2011,1400.0
2011-08-29,37.2,15.9,8,29,2011,1400.0
2011-08-30,35.4,15.4,8,30,2011,1400.0
2011-08-31,38.5,13.7,8,31,2011,1400.0
2011-09-01,37.3,13.5,9,1,2011,1360.0
2011-09-02,34.4,13.3,9,2,2011,1340.0
2011-09-05,32.1,11.7,9,5,2011,1340.0
2011-09-06,32.8,10.0,9,6,2011,1390.0
2011-09-07,31.6,8.5,9,7,2011,1390.0
2011-09-08,26.9,12.2,9,8,2011,1400.0
2011-09-09,24.1,11.0,9,9,2011,1420.0
2011-09-14,35.7,13.9,9,14,2011,1420.0
2011-09-15,34.9,13.3,9,15,2011,1420.0
