날짜,최고기온,최저기온,월,일,연도,가격
2013-01-02,2.7,-7.6,1,2,2013,3910.0
2013-01-03,-3.6,-10.7,1,3,2013,4010.0
2013-01-04,1.8,-10.2,1,4,2013,4060.0
2013-01-07,6.2,-7.9,1,7,2013,4140.0
2013-01-08,5.6,-5.2,1,8,2013,4120.0
2013-01-09,1.0,-6.0,1,9,2013,4070.0
2013-01-10,1.3,-9.3,1,10,2013,4020.0
2013-01-11,3.9,-10.8,1,11,2013,4120.0
2013-01-14,8.5,-1.1,1,14,2013,4160.0
2013-01-15,6.8,-4.3,1,15,2013,4160.0
2013-01-16,7.5,-4.3,1,16,2013,4160.0
2013-01-17,2.5,-3.2,1,17,2013,4210.0
2013-01-18,6.3,-6.1,1,18,2013,4180.0
2013-01-21,5.0,2.0,1,21,2013,4250.0
2013-01-22,7.3,2.4,1,22,2013,4200.0
2013-01-23,5.8,0.8,1,23,2013,4180.0
2013-01-24,6.6,-1.3,1,24,2013,4180.0
2013-01-25,2.4,-4.3,1,25,2013,4180.0
2013-01-28,6.6,-8.8,1,28,2013,4180.0
2013-01-29,8.7,-6.0,1,29,2013,4080.0
2013-01-30,12.1,-3.4,1,30,2013,4080.0
2013-01-31,12.6,-0.2,1,31,2013,4160.0
2013-02-01,13.5,4.7,2,1,2013,4110.0
2013-02-04,9.8,0.0,2,4,2013,4210.0
2013-02-05,5.8,-1.1,2,5,2013,4270.0
2013-02-06,7.0,-1.2,2,6,2013,4290.0
2013-02-07,0.7,-8.8,2,7,2013,4340.0
2013-02-08,0.5,-11.9,2,8,2013,4340.0
2013-02-12,0.6,-2.6,2,12,2013,4340.0
2013-02-13,5.9,-6.3,2,13,2013,4360.0
2013-02-14,9.5,-3.6,2,14,2013,4450.0
2013-02-15,8.5,-1.5,2,15,2013,4450.0
2013-02-18,6.5,1.4,2,18,2013,4520.0
2013-02-19,6.2,-2.5,2,19,2013,4420.0
2013-02-20,4.8,-5.4,2,20,2013,4420.0
2013-02-21,7.3,-5.7,2,21,2013,4420.0
2013-02-22,9.5,-3.6,2,22,2013,4420.0
2013-02-25,12.3,-3.4,2,25,2013,4080.0
2013-02-26,10.0,-0.3,2,26,2013,4080.0
2013-02-27,15.6,-2.7,2,27,2013,4020.0
2013-02-28,16.8,-1.8,2,28,2013,4000.0
2013-03-04,12.9,-4.1,3,4,2013,4000.0
2013-03-05,16.9,-3.0,3,5,2013,3970.0
2013-03-06,17.8,-3.0,3,6,2013,3920.0
2013-03-07,15.8,1.5,3,7,2013,4020.0
2013-03-08,19.3,0.8,3,8,2013,4020.0
2013-03-11,14.2,0.1,3,11,2013,3990.0
2013-03-12,17.5,-2.3,3,12,2013,4040.0
2013-03-13,16.9,4.9,3,13,2013,4040.0
2013-03-14,9.9,0.1,3,14,2013,4040.0
2013-03-15,17.2,-2.2,3,15,2013,4040.0
2013-03-18,19.6,9.5,3,18,2013,4040.0
2013-03-19,19.5,5.2,3,19,2013,4140.0
2013-03-20,17.7,1.7,3,20,2013,4270.0
2013-03-21,11.1,-2.4,3,21,2013,4270.0
2013-03-22,14.5,-1.2,3,22,2013,4340.0
2013-03-25,12.0,3.1,3,25,2013,4340.0
