날짜,최고기온,최저기온,월,일,연도,가격
2013-01-02,-4.3,-22.1,1,2,2013,2140.0
2013-01-03,-8.7,-26.8,1,3,2013,2060.0
2013-01-04,-6.3,-26.4,1,4,2013,2160.0
2013-01-07,0.6,-19.6,1,7,2013,2180.0
2013-01-08,0.3,-17.6,1,8,2013,2220.0
2013-01-09,-5.1,-20.5,1,9,2013,2260.0
2013-01-10,-2.6,-23.5,1,10,2013,2240.0
2013-01-11,-1.5,-20.2,1,11,2013,2120.0
2013-01-14,2.3,-12.9,1,14,2013,2100.0
2013-01-15,2.3,-16.0,1,15,2013,1900.0
2013-01-16,1.4,-12.2,1,16,2013,1900.0
2013-01-17,0.1,-12.9,1,17,2013,1900.0
2013-01-18,-0.8,-16.2,1,18,2013,1800.0
2013-01-21,1.1,-3.1,1,21,2013,1840.0
2013-01-22,4.9,-0.4,1,22,2013,1840.0
2013-01-23,2.4,-0.7,1,23,2013,1760.0
2013-01-24,2.1,-6.7,1,24,2013,1700.0
2013-01-25,-6.2,-14.6,1,25,2013,1640.0
2013-01-28,-0.7,-18.8,1,28,2013,1640.0
2013-01-29,2.9,-3.2,1,29,2013,1680.0
2013-01-30,7.3,-2.3,1,30,2013,1700.0
2013-01-31,11.2,-2.7,1,31,2013,1760.0
2013-02-01,5.6,0.7,2,1,2013,1740.0
2013-02-04,3.9,-8.1,2,4,2013,1780.0
2013-02-05,0.6,-9.7,2,5,2013,1880.0
2013-02-06,3.6,-3.7,2,6,2013,1980.0
2013-02-07,-2.7,-17.6,2,7,2013,2040.0
2013-02-08,-3.3,-24.5,2,8,2013,2040.0
2013-02-12,-0.1,-11.8,2,12,2013,2040.0
2013-02-13,2.7,-17.2,2,13,2013,2040.0
2013-02-14,5.0,-12.7,2,14,2013,2020.0
2013-02-15,3.0,-9.7,2,15,2013,2020.0
2013-02-18,6.0,-2.4,2,18,2013,2020.0
2013-02-19,2.3,-6.9,2,19,2013,2020.0
2013-02-20,1.0,-14.3,2,20,2013,2020.0
2013-02-21,2.4,-12.6,2,21,2013,2020.0
2013-02-22,5.2,-10.1,2,22,2013,1880.0
2013-02-25,7.3,-7.6,2,25,2013,1720.0
2013-02-26,6.6,-6.1,2,26,2013,1760.0
2013-02-27,11.8,-4.6,2,27,2013,1880.0
2013-02-28,12.5,-6.2,2,28,2013,1880.0
2013-03-04,6.8,-5.6,3,4,2013,1960.0
2013-03-05,9.3,-6.8,3,5,2013,2020.0
2013-03-06,14.2,-5.5,3,6,2013,2100.0
2013-03-07,11.0,-1.3,3,7,2013,2000.0
2013-03-08,15.0,-0.2,3,8,2013,1980.0
2013-03-11,12.9,-7.4,3,11,2013,1940.0
2013-03-12,12.1,-5.6,3,12,2013,1900.0
2013-03-13,10.7,1.2,3,13,2013,1900.0
2013-03-14,10.0,-2.5,3,14,2013,1900.0
2013-03-15,12.1,-5.6,3,15,2013,1940.0
2013-03-18,15.6,3.6,3,18,2013,2000.0
2013-03-19,13.3,2.1,3,19,2013,2080.0
2013-03-20,7.7,-2.9,3,20,2013,1980.0
2013-03-21,7.8,-7.7,3,21,2013,1880.0
2013-03-22,7.4,-5.4,3,22,2013,1900.0
2013-03-25,8.9,-3.8,3,25,2013,1860.0
2013-03-26,11.6,-6.7,3,26,2013,1900.0
2013-03-27,16.6,-5.7,3,27,2013,1920.0
2013-03-28,15.2,-2.3,3,28,2013,1880.0
2013-03-29,12.0,-4.2,3,29,2013,1920.0
2013-04-01,14.8,-4.4,4,1,2013,1920.0
2013-04-02,9.6,1.5,4,2,2013,1920.0
2013-04-03,15.9,-0.6,4,3,2013,1840.0
2013-04-04,21.7,-1.3,4,4,2013,1820.0
2013-04-05,24.2,1.6,4,5,2013,1860.0
2013-04-08,15.0,-3.3,4,8,2013,1940.0
2013-04-09,11.4,0.1,4,9,2013,1960.0
2013-04-10,9.3,-3.6,4,10,2013,2000.0
2013-04-11,8.1,-2.0,4,11,2013,2020.0
2013-04-12,11.8,-4.7,4,12,2013,2040.0
2013-04-15,12.6,-3.7,4,15,2013,1940.0
2013-04-16,24.0,0.4,4,16,2013,1960.0
2013-04-17,15.1,6.6,4,17,2013,1980.0
2013-04-18,18.1,5.5,4,18,2013,1940.0
2013-04-19,15.4,-2.3,4,19,2013,1920.0
2013-04-22,18.5,-1.1,4,22,2013,1940.0
2013-04-23,14.4,6.0,4,23,2013,1960.0
2013-04-24,20.2,6.2,4,24,2013,2040.0
2013-04-25,10.2,4.1,4,25,2013,2000.0
2013-04-26,14.6,4.5,4,26,2013,2040.0
2013-04-29,18.7,4.5,4,29,2013,1980.0
2013-04-30,20.6,1.1,4,30,2013,1980.0
2013-05-02,16.4,3.3,5,2,2013,1940.0
2013-05-03,18.4,5.4,5,3,2013,1900.0
2013-05-06,24.8,3.2,5,6,2013,1940.0
2013-05-07,27.4,7.5,5,7,2013,1940.0
2013-05-08,28.7,8.5,5,8,2013,1920.0
2013-05-09,25.2,7.1,5,9,2013,1900.0
2013-05-10,17.4,12.7,5,10,2013,1900.0
2013-05-13,28.3,12.5,5,13,2013,1880.0
2013-05-14,25.5,9.7,5,14,2013,1780.0
2013-05-15,26.0,12.1,5,15,2013,1740.0
2013-05-16,27.2,8.1,5,16,2013,1680.0
2013-05-20,20.2,9.2,5,20,2013,1660.0
2013-05-21,24.1,7.4,5,21,2013,1700.0
2013-05-22,0.0,0.0,5,22,2013,1560.0
2013-05-23,0.0,0.0,5,23,2013,1520.0
2013-05-24,0.0,0.0,5,24,2013,1540.0
2013-05-27,0.0,0.0,5,27,2013,1580.0
2013-05-28,0.0,0.0,5,28,2013,1740.0
2013-05-29,18.1,13.4,5,29,2013,1680.0
2013-05-30,26.8,12.5,5,30,2013,1680.0
2013-05-31,28.6,9.5,5,31,2013,1640.0
2013-06-03,29.4,12.0,6,3,2013,1600.0
