날짜,최고기온,최저기온,월,일,연도,가격
2011-01-03,1.5,-8.6,1,3,2011,840.0
2011-01-04,2.3,-10.4,1,4,2011,890.0
2011-01-05,3.5,0.0,1,5,2011,890.0
2011-01-06,0.5,-2.7,1,6,2011,890.0
2011-01-07,0.7,-7.7,1,7,2011,890.0
2011-01-10,-1.8,-8.9,1,10,2011,890.0
2011-01-11,2.2,-9.6,1,11,2011,880.0
2011-01-12,0.5,-7.3,1,12,2011,880.0
2011-01-13,2.3,-10.7,1,13,2011,880.0
2011-01-14,4.7,-9.4,1,14,2011,880.0
2011-01-17,-0.8,-10.7,1,17,2011,880.0
2011-01-18,1.6,-9.6,1,18,2011,880.0
2011-01-19,1.1,-8.3,1,19,2011,890.0
2011-01-20,-1.9,-7.4,1,20,2011,890.0
2011-01-21,0.5,-9.6,1,21,2011,890.0
2011-01-24,-1.1,-4.9,1,24,2011,910.0
2011-01-25,0.4,-8.7,1,25,2011,930.0
2011-01-26,0.0,-10.4,1,26,2011,930.0
2011-01-27,-1.4,-7.9,1,27,2011,930.0
2011-01-28,-1.4,-7.5,1,28,2011,930.0
2011-01-31,0.6,-13.4,1,31,2011,930.0
2011-02-01,6.2,-10.7,2,1,2011,930.0
2011-02-07,8.8,-2.0,2,7,2011,1140.0
2011-02-08,5.1,-1.3,2,8,2011,1220.0
2011-02-09,3.1,-3.3,2,9,2011,1290.0
2011-02-10,1.0,-4.1,2,10,2011,1240.0
2011-02-11,1.6,-6.9,2,11,2011,1230.0
2011-02-14,1.1,-9.5,2,14,2011,1190.0
2011-02-15,3.7,-7.9,2,15,2011,1190.0
2011-02-16,6.2,-6.2,2,16,2011,1190.0
2011-02-17,2.7,-0.5,2,17,2011,1140.0
2011-02-18,6.4,-4.2,2,18,2011,1140.0
2011-02-21,11.6,-2.8,2,21,2011,1140.0
2011-02-22,12.0,-2.8,2,22,2011,1180.0
2011-02-23,14.4,-1.3,2,23,2011,1160.0
2011-02-24,16.6,-0.7,2,24,2011,1100.0
2011-02-25,8.1,-2.5,2,25,2011,1100.0
2011-02-28,8.0,3.2,2,28,2011,1110.0
2011-03-02,3.3,-1.3,3,2,2011,1110.0
2011-03-03,2.8,-2.3,3,3,2011,1110.0
2011-03-04,4.7,-4.2,3,4,2011,1110.0
2011-03-07,5.0,1.2,3,7,2011,1090.0
2011-03-08,9.5,-3.2,3,8,2011,1090.0
2011-03-09,6.3,-3.9,3,9,2011,1070.0
2011-03-10,8.3,-5.3,3,10,2011,1070.0
2011-03-11,12.6,-3.5,3,11,2011,1010.0
2011-03-14,13.9,3.2,3,14,2011,980.0
2011-03-15,5.8,1.1,3,15,2011,980.0
2011-03-16,6.0,-2.3,3,16,2011,980.0
2011-03-17,6.4,-3.5,3,17,2011,980.0
2011-03-18,14.6,-4.0,3,18,2011,960.0
2011-03-21,12.2,4.8,3,21,2011,920.0
2011-03-22,12.2,-1.6,3,22,2011,810.0
2011-03-23,6.3,-4.4,3,23,2011,810.0
2011-03-24,11.1,-4.4,3,24,2011,770.0
2011-03-25,11.1,-2.4,3,25,2011,720.0
2011-03-28,10.8,-0.2,3,28,2011,660.0
2011-03-29,9.4,-2.4,3,29,2011,660.0
2011-03-30,13.2,-3.2,3,30,2011,580.0
2011-03-31,16.8,1.0,3,31,2011,560.0
2011-04-01,18.5,-2.0,4,1,2011,580.0
2011-04-04,13.9,1.1,4,4,2011,560.0
2011-04-05,15.9,-1.2,4,5,2011,560.0
2011-04-06,19.5,-0.5,4,6,2011,520.0
2011-04-07,14.8,8.5,4,7,2011,520.0
2011-04-08,12.9,3.9,4,8,2011,520.0
2011-04-11,13.4,2.6,4,11,2011,500.0
2011-04-12,16.4,-1.2,4,12,2011,480.0
2011-04-13,18.2,1.2,4,13,2011,460.0
2011-04-14,19.7,0.0,4,14,2011,460.0
2011-04-15,22.2,9.4,4,15,2011,460.0
2011-04-18,10.4,5.5,4,18,2011,400.0
